Long Station Name,Collection Date,EC,Sacramento X2,Location,WYT,Ca
Rock Slough @ Old River,10/11/1990,816,94.23950241,OMR,C,19
Grant Line/Fabian/Bell Canals nr Old R.,10/11/1990,631,94.23950241,SouthDelta,C,24
Middle River at Bacon Island Bridge,10/23/1991,365,94.27657666,OMR,C,16
Old River North of Rock Slough (St 4b),10/23/1991,665,94.27657666,OMR,C,15
Rock Slough @ Old River,10/23/1991,637,94.27657666,OMR,C,15
Contra Costa PP Number 01,10/23/1991,585,94.27657666,OMR,C,15
San Joaquin River @ Mossdale Bridge - C7A,10/23/1991,727,94.27657666,SJRcorridor,C,35
Little Connection Sl. @ Empire Tr.,10/23/1991,160,94.27657666,SJRcorridor,C,11
Old River nr Tracy,10/23/1991,1220,94.27657666,SouthDelta,C,60
Grant Ln Can @ Tracy Rd Bdg,10/23/1991,997,94.27657666,SouthDelta,C,49
Grant Line/Fabian/Bell Canals nr Old R.,10/23/1991,463,94.27657666,SouthDelta,C,16
Middle River at Bacon Island Bridge,2/13/1991,557,94.27904419,OMR,C,22
Contra Costa PP Number 01,12/9/1991,988,94.2937316,OMR,C,19
Old River near Rock Slough,7/7/1959,749,94.29889644,OMR,BN,22
Old River near Rock Slough,7/7/1959,716,94.29889644,OMR,BN,21
Middle River at Bacon Island Bridge,2/26/1991,610,94.34149831,OMR,C,23
Clifton Court Intake,12/11/1991,810,94.35994762,OMR,C,26
Middle River at Bacon Island Bridge,12/11/1991,609,94.35994762,OMR,C,20
Middle River at Bacon Island Bridge,10/19/1992,534,94.57151352,OMR,AN,19
Clifton Court Intake,10/23/1990,710,94.64630634,OMR,C,21
Contra Costa PP Number 01,1/8/2001,1030,94.68792213,OMR,D,24
Middle River @ Union Point - P10A,9/9/2015,581,94.75346141,OMR,C,17
Middle River @ Union Point - P10A,9/9/2015,581,94.75346141,SouthDelta,C,17
Middle River @ Union Point - P10A,10/6/2014,503,94.77701545,OMR,C,17
Middle River @ Union Point - P10A,10/6/2014,503,94.77701545,SouthDelta,C,17
Contra Costa PP Number 01,11/17/1992,943,94.87189975,OMR,AN,21
Middle River at Bacon Island Bridge,1/29/1991,532,94.90599798,OMR,C,22
Old River North of Rock Slough (St 4b),1/29/1991,878,94.90599798,OMR,C,21
Little Connection Sl. @ Empire Tr.,1/29/1991,344,94.90599798,SJRcorridor,C,22
San Joaquin River @ Mossdale Bridge - C7A,1/29/1991,1100,94.90599798,SJRcorridor,C,56
Old River nr Tracy,1/29/1991,1320,94.90599798,SouthDelta,C,65
Grant Ln Can @ Tracy Rd Bdg,1/29/1991,1240,94.90599798,SouthDelta,C,61
Grant Line/Fabian/Bell Canals nr Old R.,1/29/1991,700,94.90599798,SouthDelta,C,23
Middle River @ Union Point - P10A,12/7/2015,710,94.9140377,OMR,BN,20
Middle River @ Union Point - P10A,12/7/2015,710,94.9140377,SouthDelta,BN,20
Middle River @ Union Point - P10A,10/5/2015,616,94.93479848,OMR,BN,18
Middle River @ Union Point - P10A,10/5/2015,616,94.93479848,SouthDelta,BN,18
Clifton Court Intake,2/27/1991,840,95.15255136,OMR,C,24
Middle River @ Union Point - P10A,8/3/2015,648,95.38511805,OMR,C,19
Middle River @ Union Point - P10A,8/3/2015,648,95.38511805,SouthDelta,C,19
Clifton Court Intake,12/10/1992,875,95.44056579,OMR,AN,38
Middle River at Bacon Island Bridge,12/10/1992,686,95.44056579,OMR,AN,23
Rock Slough @ Old River,12/19/1991,967,95.49778406,OMR,C,20
Old River North of Rock Slough (St 4b),12/19/1991,950,95.49778406,OMR,C,20
Grant Line/Fabian/Bell Canals nr Old R.,12/19/1991,909,95.49778406,SouthDelta,C,39
Old River South of Rock Slough (St 5A),3/1/1991,1050,95.64094598,OMR,C,23
Middle River @ Union Point - P10A,7/6/2015,667,95.81957478,OMR,C,21
Middle River @ Union Point - P10A,7/6/2015,667,95.81957478,SouthDelta,C,21
Old River near Rock Slough,7/21/1959,1740,95.92495125,OMR,BN,28
Old River near Rock Slough,7/21/1959,1320,95.92495125,OMR,BN,25
Contra Costa PP Number 01,12/8/1992,933,96.70881536,OMR,AN,21
