Long Station Name,Collection Date,EC,Sacramento X2,Location,WYT,Ca
Contra Costa PP Number 01,10/8/2002,1120,89.3846487,OMR,AN,29
Old River South of Rock Slough (St 5A),9/2/1981,793,89.4339165,OMR,D,16
Middle River @ Union Point - P10A,1/4/2016,601,89.47617765,OMR,BN,20
Middle River @ Union Point - P10A,1/4/2016,601,89.47617765,SouthDelta,BN,20
Clifton Court Intake,6/22/1994,450,89.49535368,OMR,C,21
Middle River at Bacon Island Bridge,6/22/1994,389,89.49535368,OMR,C,20
Rock Slough @ Old River,6/22/1994,450,89.49535368,OMR,C,17
Contra Costa PP Number 01,11/6/2007,1048,89.58054651,OMR,C,24
Middle River @ Union Point - P10A,11/6/2007,427,89.58054651,OMR,C,20
Middle River @ Union Point - P10A,11/6/2007,427,89.58054651,SouthDelta,C,20
Contra Costa PP Number 01,11/7/2005,468,89.68142253,OMR,W,16
Clifton Court Intake,9/22/1994,667,90.04354307,OMR,C,19
Rock Slough @ Old River,9/22/1994,988,90.04354307,OMR,C,18
Middle River at Bacon Island Bridge,9/22/1994,407,90.04354307,OMR,C,16
Contra Costa PP Number 01,10/7/1997,640,90.04861349,OMR,W,17.8
Rock Slough @ Old River,6/11/1992,947,90.14218042,OMR,C,21
Old River North of Rock Slough (St 4b),6/11/1992,934,90.14218042,OMR,C,20
Grant Line/Fabian/Bell Canals nr Old R.,6/11/1992,686,90.14218042,SouthDelta,C,24
Middle River at Bacon Island Bridge,9/24/1991,365,90.17385402,OMR,C,15
Middle River @ Union Point - P10A,7/7/2014,541,90.2187572,OMR,C,18
Middle River @ Union Point - P10A,7/7/2014,541,90.2187572,SouthDelta,C,18
Clifton Court Intake,5/23/1990,654,90.30188297,OMR,C,19
Rock Slough @ Old River,5/23/1990,660,90.30188297,OMR,C,16
Middle River @ Union Point - P10A,9/2/2014,452,90.3346038,OMR,C,15
Middle River @ Union Point - P10A,9/2/2014,452,90.3346038,SouthDelta,C,15
Middle River @ Union Point - P10A,11/4/2013,463,90.34617646,OMR,C,18
Middle River @ Union Point - P10A,11/4/2013,463,90.34617646,SouthDelta,C,18
Middle River at Bacon Island Bridge,5/7/1992,456,90.34949329,OMR,C,23
Rock Slough @ Old River,8/25/1994,805,90.48799198,OMR,C,15
Clifton Court Intake,8/25/1994,597,90.48799198,OMR,C,15
Middle River at Bacon Island Bridge,8/25/1994,336,90.48799198,OMR,C,14
Contra Costa PP Number 01,7/20/1994,666,90.6143213,OMR,C,15
Middle River at Bacon Island Bridge,7/20/1994,365,90.6143213,OMR,C,15
Rock Slough @ Old River,7/20/1994,692,90.6143213,OMR,C,14
Old River North of Rock Slough (St 4b),7/20/1994,690,90.6143213,OMR,C,14
San Joaquin River @ Mossdale Bridge - C7A,7/20/1994,942,90.6143213,SJRcorridor,C,51
Little Connection Sl. @ Empire Tr.,7/20/1994,248,90.6143213,SJRcorridor,C,11
Old River nr Tracy,7/20/1994,997,90.6143213,SouthDelta,C,52
Grant Ln Can @ Tracy Rd Bdg,7/20/1994,956,90.6143213,SouthDelta,C,50
