Long Station Name,Collection Date,EC,Sacramento X2,Location,WYT,Br
San Joaquin River @ Mossdale Bridge - C7A,1/12/1994,731,82.38546939,SJRcorridor,C,0.32
Old River nr Tracy,1/12/1994,771,82.38546939,SouthDelta,C,0.33
Middle River at Bacon Island Bridge,1/19/1994,356,80.49647088,OMR,C,0.14
Clifton Court Intake,1/19/1994,367,80.49647088,OMR,C,0.15
Contra Costa PP Number 01,2/9/1994,388,80.94524586,OMR,C,0.16
Rock Slough @ Old River,2/17/1994,370,75.37363149,OMR,C,0.15
Clifton Court Intake,2/17/1994,415,75.37363149,OMR,C,0.17
Middle River at Bacon Island Bridge,2/17/1994,482,75.37363149,OMR,C,0.18
Rock Slough @ Old River,3/24/1994,328,72.52425966,OMR,C,0.09
Clifton Court Intake,3/24/1994,437,72.52425966,OMR,C,0.14
Middle River at Bacon Island Bridge,3/24/1994,516,72.52425966,OMR,C,0.18
Little Connection Sl. @ Empire Tr.,4/20/1994,236,78.884997,SJRcorridor,C,0.06
Old River North of Rock Slough (St 4b),4/20/1994,348,78.884997,OMR,C,0.11
Rock Slough @ Old River,4/20/1994,357,78.884997,OMR,C,0.11
Contra Costa PP Number 01,4/20/1994,375,78.884997,OMR,C,0.12
Middle River at Bacon Island Bridge,4/20/1994,441,78.884997,OMR,C,0.17
Grant Ln Can @ Tracy Rd Bdg,4/20/1994,824,78.884997,SouthDelta,C,0.39
San Joaquin River @ Mossdale Bridge - C7A,4/20/1994,880,78.884997,SJRcorridor,C,0.41
Grant Line/Fabian/Bell Canals nr Old R.,4/20/1994,922,78.884997,SouthDelta,C,0.4
Old River nr Tracy,4/20/1994,942,78.884997,SouthDelta,C,0.44
Rock Slough @ Old River,5/19/1994,395,76.51544974,OMR,C,0.15
Middle River at Bacon Island Bridge,5/19/1994,499,76.51544974,OMR,C,0.2
Clifton Court Intake,5/19/1994,599,76.51544974,OMR,C,0.24
Contra Costa PP Number 01,5/26/1994,427,79.98947042,OMR,C,0.15
Contra Costa PP Number 01,6/16/1994,407,86.55672415,OMR,C,0.19
Middle River at Bacon Island Bridge,6/22/1994,389,89.49535368,OMR,C,0.18
Rock Slough @ Old River,6/22/1994,450,89.49535368,OMR,C,0.21
Clifton Court Intake,6/22/1994,450,89.49535368,OMR,C,0.2
Little Connection Sl. @ Empire Tr.,7/20/1994,248,90.6143213,SJRcorridor,C,0.1
Middle River at Bacon Island Bridge,7/20/1994,365,90.6143213,OMR,C,0.18
Contra Costa PP Number 01,7/20/1994,666,90.6143213,OMR,C,0.46
Old River North of Rock Slough (St 4b),7/20/1994,690,90.6143213,OMR,C,0.49
Rock Slough @ Old River,7/20/1994,692,90.6143213,OMR,C,0.51
Grant Line/Fabian/Bell Canals nr Old R.,7/20/1994,852,90.6143213,SouthDelta,C,0.41
San Joaquin River @ Mossdale Bridge - C7A,7/20/1994,942,90.6143213,SJRcorridor,C,0.46
Grant Ln Can @ Tracy Rd Bdg,7/20/1994,956,90.6143213,SouthDelta,C,0.41
Contra Costa PP Number 01,8/23/1994,703,91.93258472,OMR,C,0.51
Middle River at Bacon Island Bridge,8/25/1994,336,90.48799198,OMR,C,0.15
Clifton Court Intake,8/25/1994,597,90.48799198,OMR,C,0.39
Rock Slough @ Old River,8/25/1994,805,90.48799198,OMR,C,0.59
Contra Costa PP Number 01,9/20/1994,935,92.37559029,OMR,C,0.72
Middle River at Bacon Island Bridge,9/22/1994,407,90.04354307,OMR,C,0.18
Clifton Court Intake,9/22/1994,667,90.04354307,OMR,C,0.43
Rock Slough @ Old River,9/22/1994,988,90.04354307,OMR,C,0.74
Contra Costa PP Number 01,10/13/1994,569,90.78710967,OMR,W,0.35
Clifton Court Intake,10/20/1994,451,92.73586707,OMR,W,0.19
Middle River at Bacon Island Bridge,10/20/1994,464,92.73586707,OMR,W,0.2
